"","x"
"EOF1_Lambda",69.6830225045258
"EOF2_Lambda",1.27590485376483
"EOF3_Lambda",0.431972121912108
"EOF4_Lambda",0.125757042931349
"EOF5_Lambda",0.086760803440478
"EOF6_Lambda",0.0734020659612647
"EOF7_Lambda",0.0460378406605231
"EOF8_Lambda",0.039754758214435
"EOF9_Lambda",0.0362374247643245
"EOF10_Lambda",0.0296231240769523
"EOF11_Lambda",0.0198607282298234
"EOF12_Lambda",0.0180614635268145
"EOF13_Lambda",0.0158892700715582
"EOF14_Lambda",0.0140756848444823
"EOF15_Lambda",0.0111984416058252
"EOF16_Lambda",0.0101511306316287
"EOF17_Lambda",0.00920204993181614
"EOF18_Lambda",0.00835720609442842
