"","x"
"EOF1_Lambda",69.5845571517785
"EOF2_Lambda",1.35478405932295
"EOF3_Lambda",0.435110085282674
"EOF4_Lambda",0.137142394298171
"EOF5_Lambda",0.0971019815851729
"EOF6_Lambda",0.0713750800853359
"EOF7_Lambda",0.0444152302180821
"EOF8_Lambda",0.0394687702919266
"EOF9_Lambda",0.0351859108519773
"EOF10_Lambda",0.0290905125037646
"EOF11_Lambda",0.0195558436928223
"EOF12_Lambda",0.0172948927756811
"EOF13_Lambda",0.0151988992113858
"EOF14_Lambda",0.0148053440973171
"EOF15_Lambda",0.010848696032847
"EOF16_Lambda",0.0101009326493531
"EOF17_Lambda",0.00932927088279511
"EOF18_Lambda",0.00832792157648078
"EOF19_Lambda",0.00770109154263161
